record_id,user_id,date,screen_time_minutes,unlock_count,app_switch_count,typing_speed_wpm,scroll_speed,night_usage_minutes,social_app_minutes,productive_app_minutes,night_ratio,unlock_intensity,fragmentation_index,agitation_score,social_ratio,social_opens_per_hour,social_session_avg,social_session_var,late_night_social_ratio,social_inter_open_gap_min,self_report_score,label,prev_label_lag1,roll_3d_screen_time_minutes,roll_7d_screen_time_minutes,roll_3d_social_ratio,roll_7d_social_ratio,roll_3d_app_switch_count,roll_7d_app_switch_count,roll_3d_scroll_speed,roll_7d_scroll_speed,roll_3d_typing_speed_wpm,roll_7d_typing_speed_wpm,dod_pct_screen_time_minutes,dod_pct_app_switch_count,dod_pct_scroll_speed,dod_pct_typing_speed_wpm,raw_formula_stress,stress_score,raw_formula_anxiety,anxiety_score,raw_formula_burnout,burnout_score,raw_formula_addiction,addiction_score,stress_level,anxiety_level,burnout_level,addiction_level
REC_000011,user_001,2026-01-11,465.64,200,497,40.15,630.61,161.66,271.75,26.23,0.3472,0.4295,0.5337,0.4602,0.5836,14.9471,2.34,0.67,0.3472,8.4,2,Addiction,2,604.51,562.0414,0.6495,0.6486,336.0,315.0,542.1933,587.54,51.4067,55.4643,-0.3076,0.3654,0.3096,-0.1597,0.4669,0.4055,0.3761,0.4222,0.4457,0.4005,0.4871,0.5173,Medium,High,Medium,High
REC_000012,user_001,2026-01-12,608.1,209,416,32.41,572.26,205.97,460.73,89.09,0.3387,0.3437,0.3421,0.3572,0.7577,15.5896,2.92,1.04,0.3387,5.27,2,Addiction,2,572.8467,556.4829,0.6265,0.6369,401.6667,343.8571,563.6567,615.2257,48.35,53.7457,0.3059,-0.163,-0.0925,-0.1928,0.3969,0.3409,0.2934,0.285,0.5093,0.5222,0.5606,0.5454,Medium,High,High,High
REC_000013,user_001,2026-01-13,563.81,193,359,68.87,633.19,185.12,422.19,39.56,0.3283,0.3423,0.3184,0.4125,0.7488,15.3244,2.93,1.05,0.3283,6.08,2,Addiction,2,582.0967,555.5071,0.64,0.6506,425.6667,356.0,561.47,617.4814,40.1133,49.3229,-0.0728,-0.137,0.1065,1.125,0.4506,0.4222,0.3029,0.3172,0.4156,0.4137,0.5513,0.5127,Medium,High,Medium,High
REC_000014,user_001,2026-01-14,527.15,200,454,62.49,614.64,234.05,347.8,46.23,0.444,0.3794,0.4306,0.46,0.6598,14.9104,2.65,0.86,0.444,6.97,2,Addiction,2,545.85,567.0171,0.6967,0.6759,424.0,369.4286,612.02,604.6043,47.1433,49.1843,-0.065,0.2646,-0.0293,-0.0926,0.4702,0.5458,0.3508,0.4192,0.467,0.6,0.5462,0.5485,High,High,High,High
REC_000015,user_001,2026-01-15,629.95,161,235,54.8,622.45,217.04,432.07,88.6,0.3445,0.2556,0.1865,0.3314,0.6859,10.4771,3.93,1.89,0.3445,7.36,1,Addiction,2,566.3533,568.3186,0.7221,0.6712,409.6667,390.5714,606.6967,582.4686,54.59,51.1629,0.195,-0.4824,0.0127,-0.1231,0.3911,0.4487,0.2244,0.2338,0.4751,0.4461,0.4825,0.4818,High,Medium,Medium,High
REC_000016,user_001,2026-01-16,572.6,222,395,70.01,641.07,217.27,426.38,36.83,0.3794,0.3877,0.3449,0.4427,0.7446,17.2896,2.58,0.82,0.3794,5.26,3,Addiction,2,573.6367,578.2214,0.6982,0.676,349.3333,381.2857,623.4267,590.5014,62.0533,51.9457,-0.091,0.6809,0.0299,0.2776,0.4648,0.4861,0.3285,0.2699,0.4395,0.3918,0.5846,0.5871,High,Medium,Medium,High
REC_000017,user_001,2026-01-17,547.2,255,305,57.0,441.95,210.41,363.47,60.41,0.3845,0.466,0.2787,0.3847,0.6643,18.5309,2.15,0.57,0.3845,5.28,5,Addiction,2,576.5667,577.1143,0.6968,0.6799,361.3333,388.5714,626.0533,599.3943,62.4333,53.7871,-0.0444,-0.2278,-0.3106,-0.1858,0.3717,0.4111,0.2853,0.2362,0.4585,0.5569,0.5664,0.5571,Medium,Medium,High,High
REC_000018,user_001,2026-01-18,564.75,240,301,54.9,631.82,256.78,395.18,74.93,0.4547,0.425,0.2665,0.4163,0.6998,17.7425,2.37,0.69,0.4547,5.24,2,Addiction,2,583.25,559.2071,0.6983,0.6921,311.6667,380.1429,568.49,593.7386,60.6033,55.1043,0.0321,-0.0131,0.4296,-0.0368,0.4113,0.4463,0.2945,0.3568,0.5007,0.6339,0.5938,0.5351,High,High,High,High
REC_000019,user_001,2026-01-19,375.46,125,129,23.32,227.98,164.98,150.63,41.73,0.4394,0.3329,0.1718,0.2463,0.4012,7.9902,3.01,1.11,0.4394,21.29,1,Burnout,2,561.5167,573.3657,0.7029,0.7087,333.6667,352.1429,571.6133,593.9114,60.6367,57.2114,-0.3352,-0.5714,-0.6392,-0.5752,0.207,0.2589,0.1635,0.054,0.488,0.5476,0.3722,0.374,Medium,Low,High,Medium
REC_000020,user_001,2026-01-20,605.51,198,356,56.91,541.4,119.63,444.51,86.85,0.1976,0.327,0.294,0.3463,0.7341,14.3681,3.07,1.15,0.1976,5.76,4,Addiction,3,495.8033,540.1314,0.5884,0.6578,245.0,311.1429,433.9167,544.7286,45.0733,55.9129,0.6127,1.7597,1.3748,1.4404,0.4092,0.3574,0.2711,0.2336,0.3959,0.3172,0.4966,0.4606,Medium,Medium,Medium,High
REC_000021,user_001,2026-01-21,526.38,174,305,50.79,601.37,222.83,330.49,38.29,0.4233,0.3306,0.2897,0.383,0.6279,12.4244,3.03,1.13,0.4233,8.38,1,Addiction,2,515.24,546.0886,0.6117,0.6557,262.0,310.7143,467.0667,531.6157,45.0433,54.2043,-0.1307,-0.1433,0.1108,-0.1075,0.4001,0.4642,0.2721,0.4163,0.4808,0.4317,0.5024,0.4542,High,High,Medium,High
REC_000022,user_001,2026-01-22,657.24,212,292,46.42,666.13,227.33,513.13,63.47,0.3459,0.3226,0.2221,0.3558,0.7807,15.063,3.11,1.18,0.3459,4.74,2,Addiction,2,502.45,545.9786,0.5877,0.6511,263.3333,289.4286,456.9167,529.72,43.6733,52.5329,0.2486,-0.0426,0.1077,-0.086,0.4055,0.4103,0.2612,0.2437,0.5024,0.4586,0.5667,0.5353,Medium,Medium,Medium,High
REC_000023,user_001,2026-01-23,563.18,217,358,40.89,737.47,148.58,348.83,40.55,0.2638,0.3853,0.3178,0.3943,0.6194,14.2761,2.6,0.83,0.2638,6.54,2,Addiction,2,596.3767,549.8771,0.7142,0.6647,317.6667,297.5714,602.9667,535.96,51.3733,51.3357,-0.1431,0.226,0.1071,-0.1191,0.4326,0.4487,0.2928,0.309,0.4423,0.544,0.4697,0.4205,High,High,High,High
REC_000024,user_001,2026-01-24,139.11,43,33,70.24,246.35,0.83,48.69,40.62,0.006,0.3091,0.1186,0.2205,0.35,6.4696,3.25,1.29,0.006,86.73,4,Balanced,2,582.2667,548.5314,0.676,0.6468,318.3333,292.2857,668.3233,549.7314,46.0333,47.1757,-0.753,-0.9078,-0.666,0.7178,0.2261,0.2822,0.1272,0.0884,0.1129,0.109,0.2065,0.1691,Medium,Low,Low,Low
REC_000025,user_001,2026-01-25,562.7,189,297,48.24,653.56,168.53,383.26,52.94,0.2995,0.3359,0.2639,0.3648,0.6811,13.6484,2.99,1.1,0.2995,6.85,3,Addiction,0,453.1767,490.2329,0.5834,0.6019,227.6667,253.4286,549.9833,521.7886,52.5167,49.0671,2.0,2.0,1.653,-0.3132,0.4051,0.4192,0.2633,0.2856,0.4434,0.4584,0.4988,0.4567,Medium,High,Medium,High
REC_000026,user_001,2026-01-26,462.76,197,347,52.36,630.49,203.75,285.84,52.94,0.4403,0.4257,0.3749,0.443,0.6177,15.6884,2.36,0.68,0.4403,8.08,2,Addiction,2,421.6633,489.94,0.5502,0.5992,229.3333,252.8571,545.7933,524.8943,53.1233,48.1157,-0.1776,0.1684,-0.0353,0.0854,0.4292,0.3858,0.3227,0.3608,0.4621,0.4461,0.5361,0.4308,Medium,High,Medium,High
REC_000027,user_001,2026-01-27,545.86,223,406,61.15,542.36,156.4,389.3,40.29,0.2865,0.4085,0.3719,0.4096,0.7132,17.4771,2.45,0.73,0.2865,5.62,2,Addiction,2,388.19,502.4114,0.5496,0.6301,225.6667,284.0,510.1333,582.3957,56.9467,52.2643,0.1796,0.17,-0.1398,0.1679,0.4337,0.4252,0.3207,0.3029,0.4056,0.3391,0.546,0.5567,Medium,High,Medium,High
REC_000028,user_001,2026-01-28,612.12,157,344,56.93,792.15,134.68,368.03,48.55,0.22,0.2565,0.281,0.3783,0.6012,9.2139,3.92,1.88,0.22,8.81,1,Addiction,2,523.7733,493.89,0.6707,0.6271,350.0,291.1429,608.8033,582.5329,53.9167,52.87,0.1214,-0.1527,0.4606,-0.069,0.4642,0.4997,0.2662,0.2707,0.4083,0.3719,0.3986,0.3735,High,Medium,Medium,Medium
REC_000029,user_001,2026-01-29,683.43,172,392,48.31,517.22,109.95,482.53,62.15,0.1609,0.2517,0.2868,0.3027,0.706,10.6229,3.99,1.95,0.1609,6.25,2,Addiction,2,540.2467,506.1386,0.644,0.6233,365.6667,296.7143,655.0,609.7871,56.8133,53.7471,0.1165,0.1395,-0.3471,-0.1514,0.4003,0.3704,0.2485,0.1916,0.425,0.523,0.4369,0.4364,Medium,Medium,High,High
REC_000030,user_001,2026-01-30,419.57,171,388,54.37,613.76,240.57,233.12,32.25,0.5734,0.4076,0.4624,0.4842,0.5556,13.5854,2.45,0.74,0.5734,10.74,4,Addiction,2,613.8033,509.88,0.6735,0.6127,380.6667,311.0,617.2433,588.5143,55.4633,54.0171,-0.3861,-0.0102,0.1867,0.1254,0.4522,0.4237,0.358,0.3314,0.5023,0.5002,0.5301,0.5414,Medium,High,High,High
REC_000031,user_001,2026-01-31,601.5,196,318,54.82,675.26,155.71,333.59,85.07,0.2589,0.3259,0.2643,0.3701,0.5546,10.7731,3.09,1.17,0.2589,7.76,1,Addiction,2,571.7067,489.3643,0.6209,0.6035,374.6667,315.2857,641.0433,570.8414,53.2033,55.9429,0.4336,-0.1804,0.1002,0.0083,0.4263,0.4435,0.2616,0.2619,0.4262,0.3342,0.4072,0.4136,High,Medium,Medium,High
REC_000032,user_001,2026-02-01,428.86,210,450,61.11,601.75,203.71,237.05,27.31,0.475,0.4897,0.5246,0.5159,0.5527,16.2292,2.04,0.51,0.475,8.72,3,Addiction,2,568.1667,555.42,0.6054,0.6328,366.0,356.0,602.08,632.1143,52.5,53.74,-0.287,0.4151,-0.1089,0.1147,0.4827,0.4918,0.3946,0.4923,0.4479,0.481,0.5259,0.5412,High,High,High,High
REC_000033,user_001,2026-02-02,668.86,126,253,49.03,646.33,203.29,381.72,73.79,0.3039,0.1884,0.1891,0.3059,0.5707,6.369,5.38,3.54,0.3039,10.86,1,Addiction,2,483.31,536.3,0.5543,0.6144,385.3333,377.8571,630.2567,624.7129,56.7667,55.5786,0.5596,-0.4378,0.0741,-0.1977,0.395,0.3629,0.2044,0.1328,0.4826,0.4786,0.3831,0.3794,Medium,Low,High,Medium
REC_000034,user_001,2026-02-03,436.78,162,410,46.7,695.63,101.09,292.21,50.83,0.2314,0.3709,0.4693,0.4312,0.669,14.836,2.71,0.9,0.2314,9.29,2,Addiction,2,566.4067,565.7429,0.5593,0.6077,340.3333,364.4286,641.1133,626.9757,54.9867,55.1029,-0.347,0.6206,0.0763,-0.0475,0.4649,0.5318,0.3424,0.3688,0.37,0.3673,0.4854,0.4954,High,High,Medium,High
REC_000035,user_001,2026-02-04,564.5,170,337,77.69,635.33,231.72,325.52,32.47,0.4105,0.3011,0.2985,0.4216,0.5766,10.4162,3.32,1.35,0.4105,8.93,1,Addiction,2,511.5,550.16,0.5975,0.6014,371.0,365.0,647.9033,648.8714,52.28,53.0386,0.2924,-0.178,-0.0867,0.6636,0.4575,0.468,0.2884,0.3368,0.4352,0.4231,0.458,0.385,High,High,Medium,Medium
REC_000036,user_001,2026-02-05,699.2,189,236,51.05,688.95,203.97,506.0,53.99,0.2917,0.2703,0.1688,0.3298,0.7237,11.6704,3.72,1.7,0.2917,5.45,1,Addiction,2,556.7133,543.3571,0.6054,0.5979,333.3333,364.0,659.0967,626.4686,57.8067,56.0043,0.2386,-0.2997,0.0844,-0.3429,0.4057,0.2984,0.2291,0.2134,0.4841,0.426,0.4937,0.4899,Medium,Medium,Medium,High
REC_000037,user_001,2026-02-06,636.89,188,367,56.25,523.8,197.11,478.71,73.8,0.3095,0.2952,0.2881,0.3489,0.7516,13.2834,3.4,1.41,0.3095,5.7,2,Addiction,2,566.8267,545.61,0.6564,0.6004,327.6667,341.7143,673.3033,651.0014,58.48,56.3957,-0.0891,0.5551,-0.2397,0.1019,0.4069,0.4276,0.2708,0.3043,0.459,0.4256,0.5263,0.5213,Medium,High,Medium,High
REC_000038,user_001,2026-02-07,517.05,213,238,54.13,717.64,186.02,288.76,61.91,0.3598,0.412,0.2302,0.404,0.5585,13.6932,2.45,0.73,0.3598,7.82,2,Addiction,2,633.53,576.6557,0.684,0.6284,313.3333,338.7143,616.0267,638.15,61.6633,56.6643,-0.1882,-0.3515,0.3701,-0.0377,0.41,0.4427,0.2647,0.3181,0.4422,0.5519,0.4683,0.452,High,High,High,High
REC_000039,user_001,2026-02-08,535.08,213,377,54.05,584.25,278.6,381.27,46.27,0.5207,0.3981,0.3523,0.4345,0.7125,16.932,2.52,0.78,0.5207,5.99,2,Addiction,2,617.7133,564.5914,0.6779,0.629,280.3333,327.2857,643.4633,644.2043,53.81,56.5657,0.0349,0.584,-0.1859,-0.0015,0.4243,0.4593,0.3224,0.4214,0.5213,0.5658,0.6105,0.609,High,High,High,High
REC_000040,user_001,2026-02-09,627.49,189,178,66.34,773.95,94.3,471.24,65.16,0.1503,0.3012,0.1418,0.3471,0.751,13.4822,3.34,1.37,0.1503,5.76,3,Addiction,2,563.0067,579.7657,0.6742,0.6518,327.3333,316.8571,608.5633,641.7043,54.81,55.5571,0.1727,-0.5279,0.3247,0.2274,0.4278,0.4065,0.2258,0.3164,0.3637,0.3985,0.4803,0.4207,Medium,High,Medium,High
REC_000041,user_001,2026-02-10,613.78,226,318,44.81,430.53,160.31,480.68,34.99,0.2612,0.3682,0.259,0.3162,0.7831,17.2048,2.73,0.91,0.2612,4.69,1,Addiction,2,559.8733,573.8557,0.674,0.6776,264.3333,306.1429,691.9467,659.9357,58.1733,58.03,-0.0218,0.7865,-0.4437,-0.3245,0.3542,0.3075,0.2569,0.1501,0.4517,0.4421,0.5636,0.5515,Medium,Medium,Medium,High
REC_000042,user_001,2026-02-11,549.26,171,233,59.76,571.44,170.96,348.28,56.16,0.3113,0.3113,0.2121,0.345,0.6341,11.7978,3.22,1.27,0.3113,8.25,1,Addiction,2,592.1167,599.1414,0.7489,0.6939,291.0,293.0,596.2433,622.0643,55.0667,57.76,-0.1051,-0.2673,0.3273,0.3336,0.383,0.3849,0.2341,0.2086,0.4208,0.4256,0.465,0.4627,Medium,Medium,Medium,High
REC_000043,user_001,2026-02-12,528.6,214,426,58.79,621.5,137.09,417.12,68.61,0.2594,0.4048,0.403,0.4264,0.7891,19.0694,2.48,0.76,0.2594,5.43,2,Addiction,2,596.8433,596.9643,0.7227,0.7021,243.0,278.1429,591.9733,612.9371,56.97,55.1986,-0.0376,0.8283,0.0876,-0.0162,0.4568,0.4666,0.3381,0.3598,0.3919,0.4765,0.5842,0.6438,High,High,High,High
REC_000044,user_001,2026-02-13,571.63,192,344,63.01,635.24,182.44,371.78,76.47,0.3192,0.3359,0.3009,0.3963,0.6504,13.0155,3.0,1.1,0.3192,7.0,2,Addiction,2,563.88,572.5929,0.7354,0.7114,325.6667,305.2857,541.1567,603.3014,54.4533,56.3043,0.0814,-0.1925,0.0221,0.0718,0.4374,0.4755,0.2863,0.293,0.426,0.4318,0.4861,0.4827,High,High,Medium,High
REC_000045,user_001,2026-02-14,513.3,186,299,58.87,689.72,123.79,348.82,56.32,0.2412,0.3624,0.2913,0.3933,0.6796,14.7283,2.77,0.94,0.2412,7.35,2,Addiction,2,549.83,563.27,0.6912,0.697,334.3333,302.0,609.3933,619.2214,60.52,57.27,-0.102,-0.1308,0.0858,-0.0657,0.4314,0.4483,0.2806,0.3201,0.3779,0.3918,0.4915,0.4529,High,High,Medium,High
REC_000046,user_001,2026-02-15,559.23,131,340,54.63,636.14,222.54,394.67,69.78,0.3979,0.2343,0.304,0.3719,0.7057,9.8708,4.29,2.25,0.3979,9.57,2,Addiction,2,537.8433,562.7343,0.7064,0.7143,356.3333,310.7143,648.82,615.2329,60.2233,57.9471,0.0895,0.1371,-0.0777,-0.072,0.4242,0.4794,0.2683,0.2824,0.4737,0.5012,0.5004,0.4054,High,High,High,High
REC_000047,user_001,2026-02-16,635.5,184,224,54.03,627.1,185.63,394.23,47.83,0.2921,0.2895,0.1762,0.3288,0.6203,10.7631,3.46,1.46,0.2921,7.06,2,Addiction,2,548.0533,566.1843,0.6786,0.7133,327.6667,305.4286,653.7,622.6457,58.8367,58.03,0.1364,-0.3412,-0.0142,-0.011,0.3883,0.4459,0.2216,0.2359,0.4551,0.3935,0.4434,0.434,High,Medium,Medium,High
REC_000048,user_001,2026-02-17,533.42,194,363,55.0,647.87,226.37,414.27,57.15,0.4244,0.3637,0.3403,0.422,0.7766,16.8723,2.76,0.93,0.4244,6.04,2,Addiction,2,569.3433,567.3286,0.6685,0.6946,287.6667,312.0,650.9867,601.6671,55.8433,56.2714,-0.1606,0.6205,0.0331,0.018,0.4361,0.437,0.3135,0.3204,0.4755,0.4691,0.6067,0.6212,High,High,High,High
REC_000049,user_001,2026-02-18,702.34,196,433,51.25,693.19,168.02,444.94,51.88,0.2392,0.2791,0.3083,0.3671,0.6335,10.5931,3.59,1.58,0.2392,5.95,2,Addiction,2,576.05,555.8486,0.7009,0.6937,309.0,318.4286,637.0367,632.7157,54.5533,57.7271,0.3167,0.1928,0.07,-0.0682,0.4563,0.4079,0.2825,0.3021,0.4612,0.3996,0.4311,0.427,Medium,High,Medium,High
REC_000050,user_001,2026-02-19,580.92,108,104,24.53,274.3,177.32,192.95,76.56,0.3052,0.1859,0.0895,0.174,0.3322,3.615,5.51,3.72,0.3052,24.55,1,Burnout,2,623.7533,577.7171,0.6768,0.6936,340.0,347.0,656.0533,650.1086,53.4267,56.5114,-0.1729,-0.7598,-0.6043,-0.5214,0.2229,0.2743,0.1082,0.1377,0.5001,0.3614,0.2606,0.3004,Medium,Low,Medium,Medium
REC_000051,user_002,2026-01-01,540.92,107,65,22.77,245.64,240.13,220.69,69.23,0.4439,0.1978,0.0601,0.1832,0.408,4.7696,5.13,3.23,0.4439,20.91,1,Burnout,0,540.92,540.92,0.408,0.408,65.0,65.0,245.64,245.64,22.77,22.77,0.0,0.0,0.0,0.0,0.197,0.226,0.105,0.1311,0.5514,0.4769,0.3441,0.2871,Medium,Low,High,Medium
REC_000052,user_002,2026-01-02,474.03,122,107,24.29,271.54,217.46,151.93,68.13,0.4588,0.2574,0.1129,0.2213,0.3205,4.9364,3.9,1.86,0.4588,24.77,1,Burnout,3,540.92,540.92,0.408,0.408,65.0,65.0,245.64,245.64,22.77,22.77,-0.1237,0.6462,0.1054,0.0668,0.2134,0.1639,0.134,0.0093,0.5307,0.5285,0.3152,0.2712,Low,Low,High,Low
REC_000053,user_002,2026-01-03,470.44,84,115,11.76,289.39,190.79,223.13,69.32,0.4056,0.1786,0.1222,0.2,0.4743,4.9741,5.72,4.01,0.4056,24.86,1,Burnout,3,507.475,507.475,0.3642,0.3642,86.0,86.0,258.59,258.59,23.53,23.53,-0.0076,0.0748,0.0657,-0.5159,0.2014,0.19,0.1283,0.0696,0.5305,0.5967,0.3611,0.4525,Low,Low,High,High
REC_000054,user_002,2026-01-04,529.56,125,91,21.61,218.68,255.07,245.59,39.85,0.4817,0.236,0.0859,0.2008,0.4638,6.4582,4.31,2.27,0.4817,15.97,2,Burnout,3,495.13,495.13,0.4009,0.4009,95.6667,95.6667,268.8567,268.8567,19.6067,19.6067,0.1257,-0.2087,-0.2443,0.8376,0.1962,0.1456,0.1238,0.1287,0.5666,0.584,0.3946,0.394,Low,Low,High,High
REC_000055,user_002,2026-01-05,454.7,93,144,19.36,285.0,228.55,157.33,28.71,0.5026,0.2045,0.1583,0.231,0.346,4.2226,4.92,2.96,0.5026,30.79,1,Burnout,3,491.3433,503.7375,0.4195,0.4166,104.3333,94.5,259.87,256.3125,19.22,20.1075,-0.1414,0.5824,0.3033,-0.1041,0.222,0.1252,0.1493,0.1779,0.5532,0.5767,0.3314,0.3108,Low,Medium,High,Medium
REC_000056,user_002,2026-01-06,485.83,96,99,31.91,185.31,163.15,216.14,60.53,0.3358,0.1976,0.1019,0.1701,0.4449,5.187,5.15,3.24,0.3358,22.72,1,Burnout,3,484.9,493.93,0.428,0.4025,116.6667,104.4,264.3567,262.05,17.5767,19.958,0.0685,-0.3125,-0.3498,0.6482,0.2027,0.1539,0.1113,0.136,0.4644,0.5153,0.3306,0.3134,Low,Low,High,Medium
REC_000057,user_002,2026-01-07,439.11,68,186,15.32,248.85,203.65,178.31,22.74,0.4638,0.1549,0.2118,0.2216,0.4061,3.6893,6.6,5.34,0.4638,37.07,1,Burnout,3,490.03,492.58,0.4182,0.4096,111.3333,103.5,229.6633,249.26,24.2933,21.95,-0.0962,0.8788,0.3429,-0.5199,0.2238,0.1168,0.1601,0.0711,0.5382,0.6312,0.3385,0.3074,Low,Low,High,Medium
REC_000058,user_002,2026-01-08,491.22,86,159,31.62,259.42,146.81,169.52,32.46,0.2989,0.1751,0.1618,0.1914,0.3451,3.5422,5.85,4.19,0.2989,32.72,1,Burnout,3,459.88,484.9414,0.399,0.4091,143.0,115.2857,239.72,249.2014,22.1967,21.0029,0.1187,-0.1452,0.0425,1.064,0.2413,0.2649,0.134,0.0928,0.4504,0.4876,0.2631,0.3023,Medium,Low,High,Medium
REC_000059,user_002,2026-01-09,532.87,97,108,21.9,182.25,172.52,263.74,65.11,0.3238,0.182,0.1013,0.1609,0.4949,5.4047,5.49,3.7,0.3238,18.9,2,Burnout,3,472.0533,477.8414,0.3987,0.4001,148.0,128.7143,231.1933,251.17,26.2833,22.2671,0.0848,-0.3208,-0.2975,-0.3074,0.1941,0.1966,0.1098,0.1244,0.4962,0.459,0.3491,0.3091,Low,Low,Medium,Medium
